Date,Open,High,Low,Close,Volume,Market Cap
Apr-24-2013,154.20,154.20,154.20,154.20,0,0
Apr-23-2013,143.48,143.48,143.48,143.48,0,0
Apr-22-2013,127.40,127.40,127.40,127.40,0,0
Apr-21-2013,119.20,119.20,119.20,119.20,0,0
Apr-20-2013,126.62,126.62,126.62,126.62,0,0
Apr-19-2013,118.48,118.48,118.48,118.48,0,0
Apr-18-2013,109.01,109.01,109.01,109.01,0,0
Apr-17-2013,93.07,93.07,93.07,93.07,0,0
Apr-16-2013,68.36,68.36,68.36,68.36,0,0
Apr-15-2013,82.39,82.39,82.39,82.39,0,0
Apr-14-2013,90.00,90.00,90.00,90.00,0,0
Apr-13-2013,93.00,93.00,93.00,93.00,0,0
Apr-12-2013,117.00,117.00,117.00,117.00,0,0
Apr-11-2013,124.90,124.90,124.90,124.90,0,0
Apr-10-2013,165.00,165.00,165.00,165.00,0,0
Apr-09-2013,230.00,230.00,230.00,230.00,0,0
Apr-08-2013,187.50,187.50,187.50,187.50,0,0
Apr-07-2013,162.30,162.30,162.30,162.30,0,0
Apr-06-2013,142.63,142.63,142.63,142.63,0,0
Apr-05-2013,142.32,142.32,142.32,142.32,0,0
Apr-04-2013,132.12,132.12,132.12,132.12,0,0
Apr-03-2013,135.00,135.00,135.00,135.00,0,0
Apr-02-2013,117.98,117.98,117.98,117.98,0,0
Apr-01-2013,104.00,104.00,104.00,104.00,0,0
Mar-31-2013,93.03,93.03,93.03,93.03,0,0
Mar-30-2013,92.19,92.19,92.19,92.19,0,0
Mar-29-2013,90.50,90.50,90.50,90.50,0,0
Mar-28-2013,86.18,86.18,86.18,86.18,0,0
Mar-27-2013,88.92,88.92,88.92,88.92,0,0
Mar-26-2013,78.50,78.50,78.50,78.50,0,0
Mar-25-2013,73.60,73.60,73.60,73.60,0,0
Mar-24-2013,71.50,71.50,71.50,71.50,0,0
Mar-23-2013,64.35,64.35,64.35,64.35,0,0
Mar-22-2013,69.87,69.87,69.87,69.87,0,0
Mar-21-2013,70.85,70.85,70.85,70.85,0,0
Mar-20-2013,64.49,64.49,64.49,64.49,0,0
Mar-19-2013,59.14,59.14,59.14,59.14,0,0
Mar-18-2013,51.60,51.60,51.60,51.60,0,0
Mar-17-2013,47.40,47.40,47.40,47.40,0,0
Mar-16-2013,47.00,47.00,47.00,47.00,0,0
Mar-15-2013,46.95,46.95,46.95,46.95,0,0
Mar-14-2013,47.17,47.17,47.17,47.17,0,0
Mar-13-2013,46.92,46.92,46.92,46.92,0,0
Mar-12-2013,44.29,44.29,44.29,44.29,0,0
Mar-11-2013,48.40,48.40,48.40,48.40,0,0
Mar-10-2013,46.00,46.00,46.00,46.00,0,0
Mar-09-2013,46.85,46.85,46.85,46.85,0,0
Mar-08-2013,44.18,44.18,44.18,44.18,0,0
Mar-07-2013,42.00,42.00,42.00,42.00,0,0
Mar-06-2013,41.02,41.02,41.02,41.02,0,0
